,Unnamed: 0,isim,Aciklama,Dil,Star,Fork,Lisans
65,65,dopamine,Dopamine is a research framework for fast prototyping of reinforcement learning algorithms.,Jupyter Notebook,"8,651","1,143",Apache-2.0
66,66,gulp-google-closure-deps,Gulp plugin for Google closure deps writer,JavaScript,2,4,Apache-2.0
67,67,EarlGrey,🍵 iOS UI Automation Test Framework,Objective-C,"4,926",661,Apache-2.0
68,68,flutter-desktop-embedding,"Examples of using, and testbed for, the in-development Flutter for Desktop",C++,"6,240",468,Apache-2.0
69,69,gfbuild-swiftshader,A set of scripts for building SwiftShader for the GraphicsFuzz project,Shell,1,1,Apache-2.0
70,70,gfbuild-amber,A set of scripts for building Amber for the GraphicsFuzz project,Shell,1,1,Apache-2.0
71,71,gfbuild-SPIRV-Tools,A set of scripts for building SPIRV-Tools for the GraphicsFuzz project,Shell,1,3,Apache-2.0
72,72,flatbuffers,FlatBuffers: Memory Efficient Serialization Library,C++,"13,774","2,170",Apache-2.0
73,73,vulkan_test_applications,Açıklama yok,C++,28,27,Apache-2.0
74,74,gfbuild-angle,A set of scripts for building ANGLE for the GraphicsFuzz project,Shell,1,1,Apache-2.0
75,75,gfbuild-glslang,A set of scripts for building glslang for the GraphicsFuzz project,Shell,1,1,Apache-2.0
76,76,cel-policy-templates-go,"Fast, templated, policy evaluation for networking, access, and admission control",Go,0,2,Apache-2.0
77,77,flutter.widgets,Açıklama yok,Dart,264,33,BSD-3-Clause
78,78,schedviz,A tool for gathering and visualizing kernel scheduling traces on Linux machines,Go,363,14,Apache-2.0
79,79,error-prone,Catch common Java mistakes as compile-time errors,Java,"5,042",542,Apache-2.0
80,80,data-transfer-project,"The Data Transfer Project makes it easy for people to transfer their data between online service providers. We are establishing a common framework, including data models and protocols, to enable direct transfer of data both into and out of participating online service providers.",Java,"2,829",264,Apache-2.0
81,81,ml-metadata,For recording and retrieving metadata associated with ML developer and data scientist workflows.,C++,117,24,Apache-2.0
82,82,yapf,A formatter for Python files,Python,"10,193",697,Apache-2.0
83,83,shaka-player-embedded,Shaka Player in a C++ Framework,C++,103,25,Lisans yok
84,84,gts,"☂️ TypeScript style guide, formatter, and linter.",TypeScript,"2,212",91,Apache-2.0
85,85,blockly-games,Games for tomorrow's programmers.,JavaScript,873,432,Apache-2.0
86,86,truth,Fluent assertions for Java and Android,Java,"1,976",209,Apache-2.0
87,87,devx-tools,Tools at Google for mobile development and testing,Go,29,13,Apache-2.0
88,88,glazier,A tool for automating the installation of the Microsoft Windows operating system on various device platforms.,Python,998,70,Apache-2.0
89,89,reftable,https://github.com/eclipse/jgit/blob/master/Documentation/technical/reftable.md,C,21,3,Lisans yok
90,90,flogger,A Fluent Logging API for Java,Java,"1,141",85,Apache-2.0
91,91,gerrit-linter,Açıklama yok,Go,18,3,Apache-2.0
92,92,draco,Draco is a library for compressing and decompressing 3D geometric meshes and point clouds. It is intended to improve the storage and transmission of 3D graphics.,C++,"3,267",524,Apache-2.0
93,93,kotlin,The Kotlin Programming Language,Kotlin,25,"3,668","3,668"
94,94,coding-with-chrome,An Open Source Educational IDE.,JavaScript,407,148,Lisans yok
95,95,orchestra,Advertising Data Lakes and Workflow Automation,Python,21,16,Apache-2.0
96,96,gofuzz,Fuzz testing for go.,Go,708,65,Apache-2.0
97,97,cluster-data,Borg cluster traces from Google,TeX,315,109,Lisans yok
98,98,guava,Google core libraries for Java,Java,"35,785","8,035",Apache-2.0
99,99,gson,A Java serialization/deserialization library to convert Java Objects into JSON and back,Java,"17,261","3,389",Apache-2.0
100,100,conscrypt,Conscrypt is a Java Security Provider that implements parts of the Java Cryptography Extension and Java Secure Socket Extension.,Java,684,134,Lisans yok
101,101,bazel-common,Common functionality for Google's open-source libraries that are built with bazel.,Starlark,46,26,Apache-2.0
102,102,turbine,Açıklama yok,Java,18,16,Apache-2.0
103,103,splice,Splice enables Microsoft Active Directory domain joins from any network.,Go,12,4,Apache-2.0
104,104,ghc-source-gen,Library for generating Haskell source files and code fragments.,Haskell,32,3,BSD-3-Clause
105,105,empirical_calibration,Açıklama yok,Jupyter Notebook,12,5,Apache-2.0
106,106,re2,"RE2 is a fast, safe, thread-friendly alternative to backtracking regular expression engines like those used in PCRE, Perl, and Python. It is a C++ library.",C++,"4,463",661,Lisans yok
107,107,mediapipe,MediaPipe is a cross-platform framework for building multimodal applied machine learning pipelines,C++,"4,490",789,Apache-2.0
108,108,cloud-forensics-utils,Açıklama yok,Python,0,0,Apache-2.0
109,109,kasan,"KernelAddressSanitizer, a fast memory error detector for the Linux kernel",C,204,55,Lisans yok
110,110,jsonapi,jsonapi.org style payload serializer and deserializer,Go,"1,033",174,MIT
111,111,inject.dart,Compile-time dependency injection for Dart and Flutter,Dart,632,113,MIT
112,112,monologue,A monitor that checks that Certificate Transparency Logs are complying with RFC 6962 and the Chromium Certificate Transparency Log Policy.,Go,34,11,Apache-2.0
113,113,google-ctf,Google CTF,Go,"1,494",217,Apache-2.0
114,114,ExoPlayer,An extensible media player for Android,Java,"14,858","4,476",Apache-2.0
115,115,shaka-streamer,"A simple config-file based approach to preparing streaming media, based on FFmpeg and Shaka Packager.",Python,57,6,Apache-2.0
116,116,blockly,The web-based visual programming editor.,JavaScript,"7,322","2,556",Apache-2.0
117,117,code-prettify,An embeddable script that makes source-code snippets in HTML prettier.,JavaScript,"5,205",864,Apache-2.0
118,118,DOM-Tutorials,"Interactive tutorials on using basic DOM APIs. Part of Google's ""Intro to JavaScript"" course for engineers.",HTML,0,0,Apache-2.0
119,119,UIforETW,User interface for recording and managing ETW traces,C++,883,115,Apache-2.0
120,120,neural-tangents,Fast and Easy Infinite Neural Networks in Python,Jupyter Notebook,419,50,Lisans yok
121,121,webbundle,WebBundle library for packing web sites,Rust,14,2,Apache-2.0
122,122,ideal,Experimental metaprogramming framework,Java,17,12,BSD-3-Clause
123,123,ground-platform,"Ground hosted components: Web console, Cloud Functions, db config",JavaScript,33,30,Apache-2.0
124,124,sagetv,SageTV is a cross-platform networked DVR and media management system,Java,228,167,Apache-2.0
125,125,closure-compiler,A JavaScript checker and optimizer.,Java,"5,316",970,Apache-2.0
126,126,amber,Amber is a multi-API shader test framework,C++,85,28,Apache-2.0
127,127,googet,GooGet package manager,Go,53,22,Apache-2.0
128,128,neuroglancer,WebGL-based viewer for volumetric data,TypeScript,468,150,Apache-2.0
129,129,tink,"Tink is a multi-language, cross-platform, open source library that provides cryptographic APIs that are secure, easy to use correctly, and hard(er) to misuse.",Java,"8,927",736,Apache-2.0
130,130,starthinker,Framework for building data workflows provided by Google.,Python,41,15,Apache-2.0
131,131,flutter.plugins,Açıklama yok,Dart,44,20,Lisans yok
132,132,fonts,Font files available from Google Fonts,HTML,"12,995","2,042","2,042"
133,133,pwlfit,Açıklama yok,Python,0,4,Apache-2.0
134,134,nucleus,Python and C++ code for reading and writing genomics data.,C++,553,79,Apache-2.0
135,135,sprockets,Sprockets is a framework for conformance testing based on state transitions.,Python,6,12,Apache-2.0
136,136,chartjs.dart,Dart API for Chart.js,Dart,91,38,Lisans yok
137,137,rust_icu,rust_icu: rust bindings for ICU (International Components for Unicode) library,Rust,22,3,Apache-2.0
138,138,eDistantObject,"eDistantObject (eDO), a remote invocation library for iOS",Objective-C,64,19,Apache-2.0
139,139,shaderc,"A collection of tools, libraries, and tests for Vulkan shader compilation.",C++,776,157,Apache-2.0
140,140,gsocguides,Google Summer of Code Mentor and Student Guides,CSS,159,82,Lisans yok
141,141,dagger,A fast dependency injector for Android and Java.,Java,"14,733","2,874",Apache-2.0
142,142,TensorNetwork,A library for easy and efficient manipulation of tensor networks.,Python,"1,136",204,Apache-2.0
143,143,googletest,Googletest - Google Testing and Mocking Framework,C++,"14,360","5,703",BSD-3-Clause
144,144,oboe,Oboe is a C++ library that makes it easy to build high-performance audio apps on Android.,C++,"1,776",235,Apache-2.0
145,145,transitfeed,"A Python library for reading, validating, and writing transit schedule information in the GTFS format.",Python,549,210,Apache-2.0
146,146,starlark-go,"Starlark in Go: the Starlark configuration language, implemented in Go",Go,842,52,BSD-3-Clause
147,147,oatts,Açıklama yok,JavaScript,79,29,Apache-2.0
148,148,bundletool,Bundletool is a command-line tool to manipulate Android App Bundles,Java,"1,498",142,Apache-2.0
149,149,talkback,Açıklama yok,Java,205,122,Apache-2.0
150,150,fleetspeak,Açıklama yok,Go,80,21,Apache-2.0
151,151,trillian,"A transparent, highly scalable and cryptographically verifiable data store.",Go,"2,033",234,Apache-2.0
152,152,binnavi,"BinNavi is a binary analysis IDE that allows to inspect, navigate, edit and annotate control flow graphs and call graphs of disassembled code.",Java,"2,577",449,Apache-2.0
153,153,night-sight,This is a github to host the webpage for: Handheld Mobile Photography in Very Low Light,Dil yok,31,4,Lisans yok
154,154,android-cuttlefish,Açıklama yok,C,54,17,Apache-2.0
155,155,ctfscoreboard,Scoreboard for Capture The Flag competitions.,Python,130,50,Apache-2.0
156,156,cadvisor,Analyzes resource usage and performance characteristics of running containers.,Go,"10,192","1,492","1,492"
157,157,rerast,A tool for transforming Rust code using rules,Rust,622,24,Apache-2.0
158,158,transit,Açıklama yok,Dil yok,207,93,Lisans yok
159,159,go-jsonnet,Açıklama yok,Go,608,88,Apache-2.0
160,160,jsonnet,Jsonnet - The data templating language,Jsonnet,"3,797",290,Apache-2.0
161,161,argh,Rust derive-based argument parsing optimized for code size,Rust,330,6,BSD-3-Clause
162,162,turbinia,Automation and Scaling of Digital Forensics Tools,Python,338,90,Apache-2.0
163,163,allied-oscillators,Açıklama yok,JavaScript,0,2,Apache-2.0
164,164,shaka-packager,"A media packaging and development framework for VOD and Live DASH and HLS applications, supporting Common Encryption for Widevine and other DRM Systems.",C++,825,242,Lisans yok
165,165,AFL,american fuzzy lop - a security-oriented fuzzer,C,831,106,Apache-2.0
166,166,hprof-parser,Açıklama yok,Go,8,1,Apache-2.0
167,167,rust-async-coap,"A flexible, asynchronous library for using and serving CoAP resources in Rust.",Rust,11,5,Apache-2.0
168,168,riegeli,"Riegeli/records is a file format for storing a sequence of string records, typically serialized protocol buffers.",C++,192,23,Apache-2.0
169,169,volley,Açıklama yok,Java,"2,623",637,Apache-2.0
170,170,localized-narratives,Localized Narratives,HTML,0,0,Apache-2.0
171,171,compile-testing,Testing tools for javac and annotation processors,Java,516,104,Apache-2.0
172,172,pageloader,A framework for creating page objects for in-browser or WebDriver tests.,Dart,35,46,Apache-2.0
173,173,j2objc,A Java to iOS Objective-C translation tool and runtime.,Java,"5,589",795,Apache-2.0
174,174,blockly-samples,Sample projects demonstrating how to integrate Blockly into your project,JavaScript,45,15,Apache-2.0
175,175,alertmanager-irc-relay,Send Prometheus Alerts to IRC using Webhooks,Go,21,7,Apache-2.0
176,176,bongo,Açıklama yok,Rust,6,3,Apache-2.0
177,177,memcpy-gemm,Açıklama yok,C++,1,1,Apache-2.0
178,178,cel-go,"Fast, portable, non-Turing complete expression evaluation with gradual typing (Go)",Go,363,55,Apache-2.0
179,179,go-cloud,The Go Cloud Development Kit (Go CDK): A library and tools for open cloud development in Go.,Go,"6,803",511,Apache-2.0
180,180,copybara,Copybara: A tool for transforming and moving code between repositories.,Java,749,127,Apache-2.0
181,181,restor,Restor is a user-friendly application to (mass) image macOS computers from a single source,Objective-C,218,27,Apache-2.0
182,182,go-containerregistry,Go library and CLIs for working with container registries,Go,574,130,Apache-2.0
183,183,synthmark,"Audio performance benchmark for jitter, theoretical latency, etc.",C++,26,15,Apache-2.0
184,184,gtm-session-fetcher,Google Toolbox for Mac - Session Fetcher,Objective-C,121,101,Apache-2.0
185,185,chatbase-node,Quickly integrate your Node.js chatbot with Chatbase Analytics,JavaScript,68,24,Apache-2.0
186,186,binexport,Export disassemblies into Protocol Buffers and to BinNavi databases,C++,388,112,Apache-2.0
187,187,sandboxed-api,Sandboxed API automatically generates sandboxes for C/C++ libraries,C++,"1,117",106,Apache-2.0
188,188,benchmark,A microbenchmark support library,C++,"4,069",772,Apache-2.0
189,189,gvisor-website,The gVisor project website.,HTML,12,22,Apache-2.0
190,190,pack-n-play,🚀🐢 A tool to validate your library can be consumed by other TypeScript projects.,TypeScript,26,6,Apache-2.0
191,191,cargo-raze,Generate Bazel BUILD from Cargo dependencies!,Rust,166,31,Apache-2.0
192,192,fhir,FHIR Protocol Buffers,C++,390,92,Apache-2.0
193,193,wikiloop-battlefield,WikiLoop Battlefield: fight vandalism on Wikipedia together,JavaScript,29,11,Apache-2.0
194,194,kunit-docs,Açıklama yok,HTML,20,6,Apache-2.0
195,195,blockly-experimental,Açıklama yok,JavaScript,1,4,Apache-2.0
196,196,gfbuild-graphicsfuzz,A set of scripts for building GraphicsFuzz,Shell,1,1,Apache-2.0
197,197,go-attestation,Açıklama yok,Go,74,14,Apache-2.0
198,198,cloudprober,An active monitoring software to detect failures before your customers do.,Go,"1,033",107,Apache-2.0
199,199,asylo-site,Asylo Website,HTML,18,13,Apache-2.0
200,200,zetasql,ZetaSQL - Analyzer Framework for SQL,C++,"1,169",67,Apache-2.0
201,201,vim-codefmt,Açıklama yok,Vim script,723,75,Apache-2.0
202,202,swift-jupyter,Açıklama yok,Python,397,66,Apache-2.0
203,203,android-emulator-container-scripts,Açıklama yok,Python,481,42,Apache-2.0
204,204,js-green-licenses,JavaScript package.json License Checker,TypeScript,78,19,Apache-2.0
205,205,self-published-geo,Açıklama yok,Makefile,8,6,CC-BY-4.0
206,206,gopacket,Provides packet processing capabilities for Go,Go,"3,231",628,Lisans yok
207,207,charts,Açıklama yok,Dart,"1,365",319,Apache-2.0
208,208,go-tpm,Açıklama yok,Go,239,83,Apache-2.0
209,209,ml-fairness-gym,Açıklama yok,Python,45,8,Apache-2.0
210,210,GiftStick,1-Click push forensics evidence to the cloud,Python,82,16,Apache-2.0
211,211,evcxr,Açıklama yok,Rust,"1,159",61,Apache-2.0
212,212,fscrypt,Go tool for managing Linux filesystem encryption,Go,394,46,Apache-2.0
213,213,visqol,Açıklama yok,C++,0,2,Apache-2.0
214,214,blueprint,Açıklama yok,Go,296,66,Apache-2.0
215,215,csp-evaluator,Açıklama yok,JavaScript,113,22,Apache-2.0
216,216,pprof-nodejs,pprof support for Node.js,JavaScript,48,7,Apache-2.0
217,217,addlicense,A program which ensures source code files have copyright license headers by scanning directory patterns recursively,Go,175,48,Apache-2.0
218,218,openhtf,The open-source hardware testing framework.,Python,234,111,Apache-2.0
219,219,region-flags,Collection of flags for BCP 47 region codes in SVG / PNG,HTML,139,66,Lisans yok
220,220,eventid-js,"Monotonically increasing per machine, globally unique eventids for JavaScript",TypeScript,44,20,Apache-2.0
221,221,google-toolbox-for-mac,Google Toolbox for Mac,Objective-C,849,192,Apache-2.0
222,222,clspv,Clspv is a prototype compiler for a subset of OpenCL C to Vulkan compute shaders,C,280,45,Apache-2.0
223,223,jwt_verify_lib,Açıklama yok,C++,18,16,Apache-2.0
224,224,asylo,An open and flexible framework for developing enclave applications,C++,680,98,Apache-2.0
225,225,earthengine-api,Python and JavaScript bindings for calling the Earth Engine API.,JavaScript,898,458,Apache-2.0
226,226,webrisk,Açıklama yok,Go,13,6,Apache-2.0
227,227,escapevelocity,A subset reimplementation of Apache Velocity with a much simpler API.,Java,15,4,Apache-2.0
228,228,starlark-rust,Starlark (https://github.com/bazelbuild/starlark) in Rust,Starlark,118,22,Apache-2.0
229,229,closure-compiler-npm,Package for managing and documenting closure-compiler for use via npm,JavaScript,251,55,Apache-2.0
230,230,modem,Açıklama yok,Python,0,6,Apache-2.0
231,231,libphonenumber,"Google's common Java, C++ and JavaScript library for parsing, formatting, and validating international phone numbers.",C++,"10,346","1,349","1,349"
232,232,mtail,extract whitebox monitoring data from application logs for collection in a timeseries database,Go,"2,279",239,Apache-2.0
233,233,nsscache,asynchronously synchronise local NSS databases with remote directory services,Python,91,47,GPL-2.0
234,234,mechahamster,Mecha Hamster is a game where you roll through customizable environments that you can share with your friends.,C#,228,86,Apache-2.0
235,235,go-tpm-tools,Go packages built on go-tpm providing a high-level API for using TPMs,C,26,12,Apache-2.0
236,236,pytype,A static type analyzer for Python code,Python,"2,452",132,Lisans yok
237,237,android-uiconductor,Açıklama yok,Java,53,17,Apache-2.0
238,238,driblet,Açıklama yok,Python,14,3,Apache-2.0
239,239,next-prediction,"Code and model for ""Peeking into the Future: Predicting Future Person Activities and Locations in Videos"", Liang et al, CVPR 2019",Python,176,51,Apache-2.0
240,240,mentornet,Code for MentorNet: Learning Data-Driven Curriculum for Very Deep Neural Networks,Python,184,39,Apache-2.0
241,241,patents-public-data,Patent analysis using the Google Patents Public Datasets on BigQuery,Jupyter Notebook,169,75,Apache-2.0
242,242,styleguide,Style guides for Google-originated open-source projects,HTML,"23,261","8,362",Apache-2.0
243,243,python-fire,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,Python,"16,230",993,Lisans yok
244,244,packetdrill,The official Google release of packetdrill,C,346,109,GPL-2.0
245,245,go-dap,Go implementation of the Debug Adapter Protocol,Go,5,1,Apache-2.0
246,246,pyaedj,Açıklama yok,Python,4,4,Apache-2.0
247,247,cmockery,A lightweight library to simplify and generalize the process of writing unit tests for C applications.,Shell,561,253,Apache-2.0
248,248,eng-practices,Google's Engineering Practices documentation,Dil yok,"12,243","1,067",Lisans yok
249,249,typedoc-neo-theme,Açıklama yok,JavaScript,26,8,Apache-2.0
250,250,inverting-proxy,Reverse proxy that inverts the direction of traffic,Go,88,31,Apache-2.0
251,251,OctoPrint-LEDStripControl,OctoPrint plugin that intercepts M150 GCode commands and controls local GPIOs connected to LEDs.,Python,45,34,Apache-2.0
252,252,zoekt,Fast trigram based code search,Go,956,84,Apache-2.0
253,253,ko,Build and deploy Go applications on Kubernetes,Go,"1,594",93,Apache-2.0
254,254,weasel,A simple frontend (App Engine app) that serves content from a Google Cloud Storage (GCS) bucket,Go,55,15,Apache-2.0
255,255,google-api-objectivec-client-for-rest,Google APIs Client Library for Objective-C for REST,Objective-C,419,215,Apache-2.0
256,256,play-services-plugins,Plugins to help with using Google Play services SDK.,Java,224,63,Apache-2.0
257,257,wire,Compile-time Dependency Injection for Go,Go,"3,137",142,Apache-2.0
258,258,cppdap,C++ library for the Debug Adapter Protocol,C++,14,3,Apache-2.0
259,259,brunsli,Practical JPEG Repacker,C++,69,15,MIT
260,260,fswalker,Simple file system integrity checking tooling.,Go,59,4,Apache-2.0
261,261,airdialogue,Açıklama yok,Python,6,1,Apache-2.0
262,262,dart_cli_pkg,A set of Grinder tasks that make it easy to release a Dart command-line application,Dart,5,4,Apache-2.0
263,263,airdialogue_model,Açıklama yok,Python,6,4,Apache-2.0
264,264,deepvariant,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data.,Python,"1,872",467,BSD-3-Clause
265,265,rekall,Rekall Memory Forensic Framework,Python,"1,539",335,GPL-2.0
266,266,wuffs,Wrangling Untrusted File Formats Safely,C,"1,774",61,Apache-2.0
267,267,seq2seq,A general-purpose encoder-decoder framework for Tensorflow,Python,"5,088","1,210",Apache-2.0
268,268,OctoPrint-TemperatureFailsafe,OctoPrint plugin that will execute shell commands if a heater exceeds a failsafe threshold.,Python,14,16,Apache-2.0
269,269,OctoPrint-HeaterTimeout,OctoPrint Plugin that automatically shuts down heaters after a specified idle timeout.,Python,9,7,Apache-2.0
270,270,chronicle,Açıklama yok,Dil yok,0,0,Lisans yok
271,271,crmint,Reliable data integration & processing for advertisers,Python,71,39,Apache-2.0
272,272,ruy,Açıklama yok,0,0,0,Lisans yok
273,273,stenographer,"Stenographer is a packet capture solution which aims to quickly spool all packets to disk, then provide simple, fast access to subsets of those packets. Discussion/announcements at stenographer@googlegroups.com",Go,"1,450",173,Apache-2.0
274,274,gitiles,A simple browser for Git repositories.,Java,348,124,Apache-2.0
275,275,apitools,Açıklama yok,Python,118,100,Apache-2.0
276,276,double-conversion,Efficient binary-decimal and decimal-binary conversion routines for IEEE doubles.,C++,687,170,BSD-3-Clause
277,277,hrepl,Interactive development for Bazel/Haskell rules,Haskell,30,1,Apache-2.0
278,278,bamboo-soy,An intellij plugin supporting Closure Template language (Soy),Java,28,17,Apache-2.0
279,279,nsjail,"A light-weight process isolation tool, making use of Linux namespaces and seccomp-bpf syscall filters (with help of the kafel bpf language)",C++,"1,427",170,Apache-2.0
280,280,tirg,"deep learning, image retrieval, vision and language",Python,85,15,Apache-2.0
281,281,meterstick,A concise syntax to describe and execute routine data analysis tasks,Python,54,9,Apache-2.0
282,282,gin-config,Gin provides a lightweight configuration framework for Python,Python,713,45,Apache-2.0
283,283,minijail,"Mirrored from
            
              https://android.googlesource.com/platform/external/minijail",Dil yok,25,7,Lisans yok
284,284,jax-md,"Differentiable, Hardware Accelerated, Molecular Dynamics",Jupyter Notebook,147,16,Lisans yok
285,285,rejoiner,Generates a unified GraphQL schema from gRPC microservices and other Protobuf sources,Java,"2,790",118,Apache-2.0
286,286,gemmlowp,Low-precision matrix multiplication,C++,"1,162",342,Apache-2.0
287,287,code-review-bot,Code review bot and CLA verifier,Go,58,14,Apache-2.0
288,288,pasta,Library to refactor python code through AST manipulation.,Python,187,27,Apache-2.0
289,289,aukera,Aukera is a tool for managing computer maintenance windows.,Go,8,2,Apache-2.0
290,290,material-design-icons,Material Design icons by Google,CSS,"39,619","8,142",Apache-2.0
291,291,snappy,A fast compressor/decompressor,C++,"3,921",682,Lisans yok
